SelectedFunction,Seed,ID,PerCapitaFunction,g
f1_additive,1,1,0.23467422849995556,0.7653257715000444
f1_additive,1,2,0.4053147370843314,0.5946852629156686
f1_additive,1,3,0.979640922075128,0.020359077924872016
f1_additive,1,4,0.9604806363007343,0.039519363699265675
f1_additive,1,5,0.5983196072158559,0.40168039278414414
f1_additive,1,6,0.006292221753248062,0.9937077782467519
f1_additive,1,7,0.3322043248380724,0.6677956751619276
f1_additive,1,8,0.2325011500695292,0.7674988499304708
f1_additive,1,9,0.49239792710572505,0.507602072894275
f1_additive,1,10,0.9009295184960792,0.09907048150392084
f1_additive,1,11,0.31459302496701225,0.6854069750329878
f1_additive,1,12,0.3058931796735882,0.6941068203264118
f1_additive,1,13,0.25622183934102993,0.7437781606589701
f1_additive,1,14,0.45948994652464314,0.5405100534753569
f1_additive,1,15,0.9183876487617759,0.08161235123822408
f1_additive,1,16,0.3558370522250124,0.6441629477749876
f1_additive,1,17,0.32542625128506764,0.6745737487149324
f1_additive,1,18,0.5588417404793327,0.44115825952066734
f1_additive,1,19,0.06309748428904649,0.9369025157109535
f1_additive,1,20,0.7045974013233215,0.2954025986766785
f1_additive,1,21,0.8695992807469667,0.13040071925303331
f1_additive,1,22,0.26245065507413823,0.7375493449258618
f1_additive,1,23,0.8390616089615728,0.16093839103842722
f1_additive,1,24,0.31526339590460606,0.6847366040953939
f1_additive,1,25,0.7926618494262195,0.20733815057378047
f1_additive,1,26,0.30811065509646873,0.6918893449035313
f1_additive,1,27,0.8987717549359376,0.10122824506406236
f1_additive,1,28,0.2676348091667221,0.7323651908332779
f1_additive,1,29,0.8512924849224788,0.14870751507752122
f1_additive,1,30,0.4673890866400323,0.5326109133599677
f1_additive,1,31,0.08570428860119161,0.9142957113988084
f1_additive,1,32,0.65223568642634,0.34776431357366
f1_additive,1,33,0.5944738060014515,0.4055261939985485
f1_additive,1,34,0.6512405425154961,0.3487594574845039
f1_additive,1,35,0.05513393579930714,0.9448660642006929
f1_additive,1,36,0.9529937964704429,0.04700620352955709
f1_additive,1,37,0.0673931549878477,0.9326068450121523
